text,canonical_form_1,canonical_form_2severity_rating,severity_description
69,69,1,Mild
@55,ass,1,Mild
@ssfcker,fuck,ass2.8,Severe
@ssfucker,fuck,ass2.8,Severe
@ssfvcker,fuck,ass2.4,Strong
@sshole,ass,1.6,Strong
0ral seks,sex,1,Mild
0ral sex,sex,1.8,Strong
0rg@sm,orgasm,1,Mild
0rgasms,orgasm,1,Mild
3jakulating,ejaculation,1.6,Strong
4r5e,arse,1.4,Mild
4r5ed,arse,1.4,Mild
4r5es,arse,1.4,Mild
4skin,foreskin,1,Mild
5h17,shit,1,Mild
5h1t,shit,1,Mild
5kank,skank,2,Strong
a_s_s,ass,1,Mild
abbie,abraham,1.2,Mild
abeed,abeed,1.8,Strong
aboe,abo,1,Mild
anal,anal,1,Mild
anal hole,anal,2.2,Strong
anal hore,anal,2.4,Strong
anal pirate,anal,2.2,Strong
analingus,anal,1.6,Strong
analplug,anal,2.2,Strong
analplugs,anal,2,Strong
anilingus,anal,1.8,Strong
animal fucker,fuck,3,Severe
anus,anus,1,Mild
anus plug,anus,2,Strong
ape shit,ape,shit1.6,Strong
ape shite,ape,shit1.6,Strong
apeshit,ape,shit1.4,Mild
apeshite,ape,shit1.4,Mild
ar5e,arse,1,Mild
ar5ehole,arse,1.4,Mild
arse,arse,1,Mild
arse gobbler,arse,2,Strong
arse hole,arse,1.2,Mild
arse-bandit,arse,2,Strong
arse-bandits,arse,2.2,Strong
arse-fucker,fuck,arse2.6,Severe
arse-fuckers,fuck,arse2.6,Severe
arse-hole,arse,1.8,Strong
arse-shagger,arse,2.4,Strong
arsefuck,fuck,arse2.8,Severe
arsefucker,fuck,arse2.6,Severe
arsehole,arse,1.4,Mild
arseshit,arse,shit1.8,Strong
arsewipe,arse,1.4,Mild
ashole,ass,1.6,Strong
ass,ass,1,Mild
ass bandit,ass,1.6,Strong
ass eating boiolas,ass,2.8,Severe
